rank,title,artist,streams,spotify_url,track_id
,Under The Influence,Chris Brown,1711183480,,
,"Young, Wild & Free (feta. Bruno Mars)",Snoop Dogg,1699590164,,
,Callaita,Bad Bunny,1696057174,,
,Todo De Ti,Rauw Alejandro,1692780427,,
,Can't Stop,Red Hot Chili Peppers,1683577339,,
,The Middle,Zedd,1679670822,,
,Bring Me To Life,Evanescence,1673739696,,
,In My Mind,Dynoro,1666693598,,
,No Me Conoce,JHAYCO,1659513047,,
,Tusa,KAROL G,1656337592,,
,Happy,Pharrell Williams,1654774105,,
,positions,Ariana Grande,1652782165,,
,Bones,Imagine Dragons,1650670238,,
,august,Taylor Swift,1640385208,,
,Where Are You Now,Lost Frequencies,1617834490,,
,Various Artists -,,1608292702,,
,Hawái,Maluma,1596220840,,
,Zombie,The Cranberries,1596046003,,
,Ho Hey,The Lumineers,1595759498,,
,WILDFLOWER,Billie Eilish,1593014850,,
,Sultans Of Swing,Dire Straits,1592040576,,
,Who,Jimin,1590630006,,
,PROVENZA,KAROL G,1588226619,,
,We Will Rock You,Queen,1577581319,,
,FRIENDS,Marshmello,1576893806,,
,Whatever It Takes,Imagine Dragons,1575649565,,
,Sweet Home Alabama,Lynyrd Skynyrd,1575077446,,
,Yonaguni,Bad Bunny,1569088670,,
,Ride It,Regard,1559817996,,
,Con Calma,Daddy Yankee,1555999851,,
,"Paint It, Black",The Rolling Stones,1555836952,,
,Efecto,Bad Bunny,1554591936,,
,Ophelia,The Lumineers,1553870302,,
,More Than You Know,Axwell /\ Ingrosso,1553123819,,
,Freaks,Surf Curse,1540026363,,
,You Shook Me All Night Long,AC/DC,1538880290,,
,Summer Of '69,Bryan Adams,1538301013,,
,Everlong,Foo Fighters,1535868579,,
,How You Remind Me,Nickelback,1529388643,,
,Girls Just Want to Have Fun,Cyndi Lauper,1527111153,,
,Girls Just Wanna Have Fun,Cyndi Lauper,1525873177,,
,Star Shopping,Lil Peep,1523368260,,
,My Universe,Coldplay,1520035870,,
,"Me, Myself & I",G-Eazy,1519184093,,
,Welcome To The Jungle,Guns N' Roses,1518541927,,
,Gata Only,FloyyMenor,1516510630,,
,Meant to Be,Bebe Rexha,1515670209,,
,The Chain,Fleetwood Mac,1503511364,,
,Light It Up (Remix),Major Lazer,1494089297,,
,Lemonade,Internet Money,1488805314,,
,Nothing Else Matters,Metallica,1486604044,,
,MIA,Bad Bunny,1484488575,,
,Paranoid,Black Sabbath,1483303063,,
,WAP,Cardi B,1480790804,,
,A Bar Song (Tipsy),Shaboozey,1478777263,,
,Ella Baila Sola,Eslabon Armado,1476346014,,
,Budapest,George Ezra,1475204304,,
,Natural,Imagine Dragons,1470929852,,
,Way down We Go,KALEO,1467883373,,
,Dream On,Aerosmith,1458785768,,
,Sugar,Robin Schulz,1457743497,,
,Si Antes Te Hubiera Conocido,KAROL G,1457464656,,
,golden hour,JVKE,1450552947,,
,Happier,Ed Sheeran,1446126767,,
,Heartbreak Anniversary,GIVĒON,1443050760,,
,Roar,Katy Perry,1437833741,,
,Centuries,Fall Out Boy,1435336340,,
,Last Resort,Papa Roach,1435235704,,
,Moscow Mule,Bad Bunny,1432904583,,
,APT.,ROSÉ,1427866012,,
,LUNA,Feid,1427152913,,
,Es un Secreto,Plan B,1426504235,,
,Sailor Song,Gigi Perez,1425795841,,
,You Give Love A Bad Name,Bon Jovi,1423984374,,
,Nonsense,Sabrina Carpenter,1423362463,,
,All The Small Things,blink-182,1421893401,,
,If I Ain't Got You,Alicia Keys,1419027162,,
,End of Beginning,Djo,1413619520,,
,Basket Case,Green Day,1411114997,,
,Streets,Doja Cat,1410583517,,
,Lose You To Love Me,Selena Gomez,1405522079,,
,Goodbyes,Post Malone,1403886918,,
,Something in the Orange,Zach Bryan,1398387632,,
,Like Crazy,Jimin,1397929378,,
,Butter,BTS,1395507959,,
,Feel So Close,Calvin Harris,1394410573,,
,Bitter Sweet Symphony,The Verve,1392982094,,
,un x100to,Grupo Frontera,1389767827,,
,Break My Heart,Dua Lipa,1379349234,,
,That's So True,Gracie Abrams,1376598719,,
,I Was Made For Lovin' You,KISS,1374971511,,
,Look What You Made Me Do,Taylor Swift,1373875782,,
,Desesperados,Rauw Alejandro,1373021993,,
,MIDDLE OF THE NIGHT,Elley Duhé,1372720650,,
,Astronaut In The Ocean,Masked Wolf,1370398331,,
,What Lovers Do,Maroon 5,1369345201,,
,TQG,KAROL G,1367463275,,
,Midnight City,M83,1365395832,,
,Latch,Disclosure,1364869997,,
,La Curiosidad,Jay Wheeler,1364210744,,
,Various Artists -,,1363004915,,
,Toxicity,System Of A Down,1362476152,,
,I'm the One,DJ Khaled,1359895871,,
,Stay,Zedd,1359140799,,
,Wannabe,Spice Girls,1358320675,,
,MONEY,LISA,1356307545,,
,Last Night,Morgan Wallen,1356268586,,
,The Reason,Hoobastank,1352252720,,
,Head & Heart,Joel Corry,1348343051,,
,Dog Days Are Over,Florence + The Machine,1348108141,,
,Intentions,Justin Bieber,1344671570,,
,20 Min,Lil Uzi Vert,1338912475,,
,Stuck with U,Ariana Grande,1338168677,,
,Are You With Me,Lost Frequencies,1338047157,,
,Baby,Justin Bieber,1334075150,,
,The Business,Tiësto,1333889361,,
,Crazy,Gnarls Barkley,1333612214,,
,Prayer in C,Lilly Wood and The Prick,1333536320,,
,Should I Stay or Should I Go,The Clash,1330189712,,
,It Will Rain,Bruno Mars,1329613419,,
,Tennessee Whiskey,Chris Stapleton,1329075747,,
,Clocks,Coldplay,1328516859,,
,Paradise City,Guns N' Roses,1326660321,,
,QLONA,KAROL G,1326430391,,
,Otherside,Red Hot Chili Peppers,1325127674,,
,SNAP,Rosa Linn,1322807770,,
,This Girl,Kungs,1322523549,,
,Scar Tissue,Red Hot Chili Peppers,1317215036,,
,Standing Next to You,Jung Kook,1314224753,,
,China,Anuel AA,1314185410,,
,All Star,Smash Mouth,1308758194,,
,Your Love,The Outfield,1308329459,,
,What You Know Bout Love,Pop Smoke,1306373808,,
,With Or Without You,U2,1305615842,,
,Fast Car,Jonas Blue,1302375345,,
,Rockin' Around The Christmas Tree,Brenda Lee,1301468493,,
,Santa Tell Me,Ariana Grande,1298269033,,
,You Make My Dreams (Come True),Daryl Hall & John Oates,1296392200,,
,Bad Liar,Imagine Dragons,1293874715,,
,La Bebe,Yng Lvcas,1293149374,,
,Let Me Love You,Mario,1293099734,,
,Te Boté,Nio Garcia,1290334561,,
,LALA,Myke Towers,1283321444,,
,Memories,David Guetta,1283210907,,
,Snow (Hey Oh),Red Hot Chili Peppers,1282758848,,
,Like I'm Gonna Lose You,Meghan Trainor,1282616836,,
,White Iverson,Post Malone,1279014393,,
,Feliz Cumpleaños Ferxxo,Feid,1278587012,,
,Little Talks,Of Monsters and Men,1277367889,,
,Could You Be Loved,Bob Marley & The Wailers,1274326878,,
,Human,Rag'n'Bone Man,1270167736,,
,Uptown Girl,Billy Joel,1268095835,,
,July,Noah Cyrus,1266182644,,
,"You're Gonna Go Far, Kid",The Offspring,1265669415,,
,Chantaje,Shakira,1265120373,,
,Calma,Pedro Capó,1264481819,,
,Gasolina,Daddy Yankee,1262129539,,
,Yes Indeed,Lil Baby,1260463102,,
,Sunroof,Nicky Youre,1260031026,,
,Video Games,Lana Del Rey,1259999823,,
,Everywhere,Fleetwood Mac,1259955202,,
,American Idiot,Green Day,1259692667,,
,Go Your Own Way,Fleetwood Mac,1258647753,,
,Infinity,Jaymes Young,1250344210,,
,Snowman,Sia,1249640935,,
,Angels Like You,Miley Cyrus,1248218834,,
,I Don't Want to Miss a Thing,Aerosmith,1247114966,,
,Bank Account,21 Savage,1245410674,,
,Roses,The Chainsmokers,1243148047,,
,Delicate,Taylor Swift,1237360830,,
,Send My Love (To Your New Lover),Adele,1235738946,,
,For The Night,Pop Smoke,1234566707,,
,Sorry Not Sorry,Demi Lovato,1234541020,,
,I Remember Everything,Zach Bryan,1234141789,,
,Hey Mor,Ozuna,1233453623,,
,Dior,Pop Smoke,1231282859,,
,Jingle Bell Rock,Bobby Helms,1230075275,,
,House of the Rising Sun,The Animals,1228269747,,
,Best Day Of My Life,American Authors,1227629742,,
,DESPECHÁ,ROSALÍA,1227484245,,
,The Middle,Jimmy Eat World,1227404847,,
,After Hours,The Weeknd,1225665617,,
,Swalla,Jason Derulo,1225299411,,
,My House,Flo Rida,1223967644,,
,Murder on My Mind,YNW Melly,1221106836,,
,You Are The Reason,Calum Scott,1219809986,,
,Middle,DJ Snake,1218401282,,
,Complicated,Avril Lavigne,1218325323,,
,What I've Done,Linkin Park,1217616957,,
,Hey Brother,Avicii,1217278250,,
,Breaking Me,Topic,1215633021,,
,I Want to Know What Love Is,Foreigner,1214679514,,
,Where Are Ü Now,Jack Ü,1214573944,,
,Dile,Don Omar,1212511489,,
,Hold the Line,TOTO,1211032350,,
,Water,Tyla,1208589993,,
,The Kids Aren't Alright,The Offspring,1205474131,,
,Wake Up in the Sky,Bruno Mars,1203211372,,
,What's Up?,4 Non Blondes,1201172215,,
,Savage Love (Laxed,Jawsh 685,1199292549,,
,Take Me Out,Franz Ferdinand,1197862346,,
,Temperature,Sean Paul,1197803972,,
,Kings & Queens,Ava Max,1197579665,,
,Teenagers,My Chemical Romance,1196830271,,
,Love Me Harder,Ariana Grande,1196270795,,
,Stairway to Heaven,Led Zeppelin,1194110639,,
,Or Nah,Ty Dolla $ign,1193849599,,
,Rain On Me,Lady Gaga,1193187318,,
,The Way Life Goes,Lil Uzi Vert,1189969592,,
,Can't Help Falling in Love,Elvis Presley,1188683512,,
,How You Like That,BLACKPINK,1188571191,,
,November Rain,Guns N' Roses,1187739341,,
,Kryptonite,3 Doors Down,1187709592,,
,Rewrite The Stars,James Arthur,1187548267,,
,Him & I,G-Eazy,1185652756,,
,CLASSY 101,Feid,1184876489,,
,A Bar Song (Tipsy),Shaboozey,1182806150,,
,It's Beginning to Look a Lot like Christmas,Michael Bublé,1182489068,,
,It's Beginning to Look a Lot Like Christmas,Michael Bublé,1182489068,,
,"10,000 Hours",Dan + Shay,1181145467,,
,Rewrite The Stars,Zac Efron,1180925111,,
,Wake Me Up Before You Go-Go,Wham!,1180581905,,
,I Love It,Icona Pop,1178680449,,
,THATS WHAT I WANT,Lil Nas X,1178102241,,
,double take,Dhruv,1171337530,,
,Let Me Go,Hailee Steinfeld,1169702511,,
,On Top Of The World,Imagine Dragons,1168475506,,
,PERRO NEGRO,Bad Bunny,1168241250,,
,Nothing Breaks Like a Heart,Mark Ronson,1166410061,,
,Wrecking Ball,Miley Cyrus,1162071015,,
,Elastic Heart,Sia,1158641583,,
,X,Nicky Jam,1158541790,,
,Stole the Show,Kygo,1156565213,,
,I Kissed A Girl,Katy Perry,1152919857,,
,Borro Cassette,Maluma,1152782303,,
,When It Rains It Pours,Luke Combs,1152174488,,
,Mr. Blue Sky,Electric Light Orchestra,1150933173,,
,This Town,Niall Horan,1148704536,,
,Crazy Little Thing Called Love,Queen,1148074903,,
,Perfect,One Direction,1147850734,,
,Not Allowed,TV Girl,1146069316,,
,Song 2,Blur,1144248669,,
,Love You Like A Love Song,Selena Gomez & The Scene,1139907979,,
,It's My Life,Bon Jovi,1139898734,,
,Bye Bye Bye,*NSYNC,1139880102,,
,Physical,Dua Lipa,1139092134,,
,MAMIII,Becky G,1137397682,,
,La Santa,Bad Bunny,1137167401,,
,Killing In The Name,Rage Against The Machine,1136242989,,
,Jealous,Eyedress,1134488850,,
,Go Flex,Post Malone,1133291491,,
,Diles,Bad Bunny,1132552876,,
,Drops Of Jupiter,Train,1131105057,,
,If I Can't Have You,Shawn Mendes,1130231726,,
,Nevermind,Dennis Lloyd,1130198766,,
,Piano Man,Billy Joel,1128189455,,
,Candy Paint,Post Malone,1128086181,,
,Mine,Bazzi,1128033040,,
,Use Somebody,Kings of Leon,1127618416,,
,Down Under,Men At Work,1125561154,,
,Faint,Linkin Park,1125289820,,
,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,1123441052,,
,Late Night Talking,Harry Styles,1122126505,,
,Bad Moon Rising,Creedence Clearwater Revival,1120007178,,
,What Is Love (Original 7' Mix),Haddaway,1119391550,,
,Soltera (Remix),Lunay,1118629687,,
,34+35,Ariana Grande,1117767435,,
,LA NOCHE DE ANOCHE,Bad Bunny,1117300585,,
,DtMF,Bad Bunny,1115095512,,
,Vete,Bad Bunny,1114287146,,
,Si Estuviésemos Juntos,Bad Bunny,1113745811,,
,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1113217047,,
,Master of Puppets (Remastered),Metallica,1106338400,,
,RAPSTAR,Polo G,1105297586,,
,Home,Edward Sharpe & The Magnetic Zeros,1105063772,,
,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1104229806,,
,Se Preparó,Ozuna,1099304991,,
,Strip That Down,Liam Payne,1097347744,,
,Lo Siento BB:/,Tainy,1096786650,,
,Shotgun,George Ezra,1096343751,,
,No One,Alicia Keys,1094310075,,
,Amanece,Anuel AA,1092859920,,
,Cry,Cigarettes After Sex,1091505802,,
,Dancing In the Dark,Bruce Springsteen,1091444772,,
,Beautiful Crazy,Luke Combs,1091424579,,
,Come & Go,Juice WRLD,1088681612,,
,Nobody Gets Me,SZA,1087913252,,
,I Hate Everything About You,Three Days Grace,1086433493,,
,Forever Young,Alphaville,1083538423,,
,Piece Of Your Heart,MEDUZA,1083118864,,
,Washing Machine Heart,Mitski,1082923811,,
,Love Me Again,V,1082852421,,
,AMARGURA,KAROL G,1081824517,,
,So Sick,Ne-Yo,1081628263,,
,Love Story (Taylor's Version),Taylor Swift,1081183522,,
,Bailando,Enrique Iglesias,1079432928,,
,Love In The Dark,Adele,1078835641,,
,Adan y Eva,Paulo Londra,1076122048,,
,Lost on You,LP,1073754709,,
,Felices los 4,Maluma,1073168919,,
,Wishing Well,Juice WRLD,1073054969,,
,In Your Eyes,The Weeknd,1072455423,,
,Jump,Van Halen,1071852841,,
,Somebody Told Me,The Killers,1071096211,,
,Una Noche en Medellín,Cris MJ,1070863137,,
,One Step Closer,Linkin Park,1068787985,,
,Martin & Gina,Polo G,1067064811,,
,Never Be the Same,Camila Cabello,1065883506,,
,RITMO (Bad Boys For Life),Black Eyed Peas,1063537218,,
,Whiskey Glasses,Morgan Wallen,1061378449,,
,Truth Hurts,Lizzo,1060792603,,
,Lean Wit Me,Juice WRLD,1058744778,,
,Bam Bam,Camila Cabello,1057890378,,
,Sunday Best,Surfaces,1057525589,,
,Evergreen,Richy Mitch & The Coal Miners,1057089185,,
,Never Gonna Give You Up (2022 Remaster),Rick Astley,1055002306,,
,Somebody To Love,Queen,1054927430,,
,Still into You,Paramore,1053698289,,
,Tainted Love,Soft Cell,1053334862,,
,Don't Wanna Know,Maroon 5,1052033780,,
,How Do You Sleep?,Sam Smith,1051964837,,
,Leave Before You Love Me,Marshmello,1049952871,,
,Say My Name,Destiny's Child,1049462263,,
,2055,Sleepy Hallow,1045517380,,
,Columbia,Quevedo,1045230377,,
,Friends,Chase Atlantic,1045162105,,
,Otra Vez,Zion & Lennox,1043979359,,
,Bandit,Juice WRLD,1041141666,,
,Misery Business,Paramore,1040671834,,
,3D,Jung Kook,1039540023,,
,Échame La Culpa,Luis Fonsi,1038282660,,
,Lalala,Y2K,1037203377,,
,I Write Sins Not Tragedies,Panic! At The Disco,1036957581,,
,All I Want,Olivia Rodrigo,1036798686,,
,Bleeding Love,Leona Lewis,1036657570,,
,snowfall,Øneheart,1036237100,,
,Footloose,Kenny Loggins,1035025405,,
,Hold On,Chord Overstreet,1034506017,,
,willow,Taylor Swift,1032978415,,
,Look Alive,BlocBoy JB,1032071913,,
,Everybody Talks,Neon Trees,1031679701,,
,It's the Most Wonderful Time of the Year,Andy Williams,1030242718,,
,More Than A Feeling,Boston,1030049595,,
,Versace on the Floor,Bruno Mars,1029671478,,
,Duality,Slipknot,1027806217,,
,Lose Control,MEDUZA,1027271864,,
,Total Eclipse of the Heart,Bonnie Tyler,1026298018,,
,My Boo,USHER,1022270864,,
,Propuesta Indecente,Romeo Santos,1020306071,,
,After Dark,Mr.Kitty,1019769148,,
,WITHOUT YOU,The Kid LAROI,1018123048,,
,ily (i love you baby),Surf Mesa,1018102447,,
,FAKE LOVE,BTS,1017847809,,
,Ballin',Mustard,1016979203,,
,Boss Bitch,Doja Cat,1015690902,,
,Formula,Labrinth,1015213644,,
,Golden,Harry Styles,1014380435,,
,Santeria,Sublime,1011785968,,
,QUE PRETENDES,J Balvin,1009264773,,
,Magnolia,Playboi Carti,1009090155,,
,Don't Go Breaking My Heart,Elton John,1007789909,,
,QUE ONDA,Calle 24,1007158947,,
,Island In The Sun,Weezer,1006660858,,
,Train Wreck,James Arthur,1005618849,,
,Déjala Que Vuelva,Piso 21,1004730458,,
,You Right,Doja Cat,1004685147,,
,Dancin,Aaron Smith,1004205902,,
,Criminal,NATTI NATASHA,1002280423,,
,Love Galore,SZA,1000646231,,
,Feather,Sabrina Carpenter,1000096855,,
,Master Of Puppets,Metallica,999222614,,
,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],Shakira,998725100,,
,Neverita,Bad Bunny,998481457,,
,Bandit,Juice WRLD,997800229,,
,Never Be Like You,Flume,996757542,,
,Jump,Van Halen,995850318,,
,Better Together,Jack Johnson,995707204,,
,Échame La Culpa,Luis Fonsi,994318531,,
,exile,Taylor Swift,994121674,,
,Team,Lorde,993739383,,
,Breezeblocks,alt-J,993327359,,
,Break Stuff,Limp Bizkit,993280931,,
,Is This Love,Bob Marley & The Wailers,992399799,,
,2055,Sleepy Hallow,991397627,,
,Lose Control,MEDUZA,990904324,,
,Normal,Feid,990650810,,
,Whistle,Flo Rida,990103395,,
,I Miss You,blink-182,989818708,,
,Heart-Shaped Box,Nirvana,989618429,,
,Safaera,Bad Bunny,988702531,,
,El Perdón,Nicky Jam,987388380,,
,Cinnamon Girl,Lana Del Rey,986187608,,
,I Like You (A Happier Song),Post Malone,983252243,,
,Austin (Boots Stop Workin'),Dasha,982767360,,
,Body Like A Back Road,Sam Hunt,980705178,,
,Worth It,Fifth Harmony,979153110,,
,Call On Me,Starley,979117628,,
,What Is Love,Haddaway,978962653,,
,Yandel 150,Yandel,978562029,,
,Wind Of Change,Scorpions,978540874,,
,Si Veo a Tu Mamá,Bad Bunny,978448059,,
,Moral of the Story,Ashe,978267808,,
,Una Noche en Medellín,Cris MJ,977963556,,
,The Motto,Tiësto,977225235,,
,QUE VUELVAS,Grupo Frontera,977133253,,
,Primera Cita,Carín León,976667985,,
,Ballin',Mustard,976490762,,
,Pareja Del Año,Sebastian Yatra,975852080,,
,A Thousand Miles,Vanessa Carlton,975815047,,
,Amanece,Anuel AA,975765872,,
,Tainted Love,Soft Cell,975663975,,
,Pon de Replay,Rihanna,975633515,,
,ily (i love you baby),Surf Mesa,975405084,,
,Según Quién,Maluma,974663136,,
,Bodak Yellow,Cardi B,974520011,,
,In My Blood,Shawn Mendes,973710693,,
,Cupid (Twin Ver.),FIFTY FIFTY,973710128,,
,LOKERA,Rauw Alejandro,973702874,,
,Never Gonna Give You Up,Rick Astley,972547305,,
,Kill This Love,BLACKPINK,972002118,,
,I Write Sins Not Tragedies,Panic! At The Disco,971768146,,
,Leave Before You Love Me,Marshmello,970702424,,
,Lovin On Me,Jack Harlow,969897039,,
,Otra vez,Zion & Lennox,969816645,,
,Say My Name,Destiny's Child,969678939,,
,Shower,Becky G,968470048,,
,Rich Girl,Daryl Hall & John Oates,967946438,,
,Bleeding Love,Leona Lewis,967224080,,
,Like a Stone,Audioslave,966590092,,
,Mr. Jones,Counting Crows,966513295,,
,Monster,Skillet,966281114,,
,Party Monster,The Weeknd,966108547,,
,Prada,cassö,965950761,,
,Judas,Lady Gaga,965700505,,
,Dancing In the Dark,Bruce Springsteen,965597621,,
,Footloose,Kenny Loggins,964640575,,
,"Sugar, We're Goin Down",Fall Out Boy,963327987,,
,Is There Someone Else?,The Weeknd,963325645,,
,TV,Billie Eilish,963250814,,
,The Man,Taylor Swift,963083857,,
,Enchanted,Taylor Swift,963076170,,
,Welcome to the Black Parade,My Chemical Romance,962576701,,
,Pop Out,Polo G,962069570,,
,Hold On,Chord Overstreet,960940960,,
,Wicked Game,Chris Isaak,960829539,,
,Teenage Fever,Drake,959991059,,
,BICHOTA,KAROL G,959352518,,
,Hey Mama,David Guetta,959344567,,
,Stargazing,Myles Smith,957819346,,
,LA INOCENTE,Mora,957731977,,
,After Dark,Mr.Kitty,957595097,,
,La Diabla,Xavi,957370083,,
,No Money,Galantis,957271972,,
,Don't Dream It's Over,Crowded House,956792591,,
,Chill Bill,Rob $tone,956716801,,
,...Ready For It?,Taylor Swift,956567968,,
,Vaina Loca,Ozuna,955064615,,
,Good Riddance (Time of Your Life),Green Day,954867879,,
,ME!,Taylor Swift,954829498,,
,Criminal,NATTI NATASHA,954764202,,
,Pump It,Black Eyed Peas,954740955,,
,Try,P!nk,954737462,,
,Wildest Dreams (Taylor's Version),Taylor Swift,954515380,,
,Déjala Que Vuelva,Piso 21,953854106,,
,Bitch Better Have My Money,Rihanna,952750734,,
,Million Reasons,Lady Gaga,952191852,,
,Wake Me up When September Ends,Green Day,951299568,,
,Do It To It,ACRAZE,951267469,,
,Lonely,Justin Bieber,950699570,,
,Therefore I Am,Billie Eilish,950679091,,
,About Damn Time,Lizzo,950556131,,
,Everybody Talks,Neon Trees,950490291,,
,Born To Die,Lana Del Rey,949937094,,
,The Pretender,Foo Fighters,948146811,,
,Die Young,Kesha,947518150,,
,Somebody Else,The 1975,946586990,,
,Dancin,Aaron Smith,946237076,,
,Pink Pony Club,Chappell Roan,946121985,,
,More Than a Feeling,Boston,945836256,,
,Hold Me While You Wait,Lewis Capaldi,944304212,,
,Don't Speak,No Doubt,943805225,,
,Call on Me,Starley,942849098,,
,Tiroteo,Marc Seguí,942500057,,
,The Sound of Silence,Disturbed,942244033,,
,Boys Don't Cry,The Cure,942175302,,
,Wasted On You,Morgan Wallen,942006062,,
,Knockin' On Heaven's Door,Guns N' Roses,941901674,,
,Disturbia,Rihanna,940789851,,
,Wish You Were Here,Pink Floyd,940777510,,
,Si No Estás,iñigo quintero,938866789,,
,Dust in the Wind,Kansas,938665861,,
,Body Like A Back Road,Sam Hunt,938375495,,
,Rosas,La Oreja de Van Gogh,937632542,,
,Breezeblocks,alt-J,936985473,,
,Down with the Sickness,Disturbed,935257199,,
,Roxanne,The Police,934839811,,
,Pretty Girl,Maggie Lindemann,934655965,,
,Yandel 150,Yandel,934550509,,
,I'm Gonna Be (500 Miles),The Proclaimers,934101848,,
,Love Sosa,Chief Keef,933395216,,
,Safaera,Bad Bunny,933205840,,
